PrivateFrameworks/BridgeOSInstallReporting : 21
PrivateFrameworks/BridgeOSObliteration : 168
PrivateFrameworks/BridgeOSSoftwareUpdate : 1503
PrivateFrameworks/BridgeXPC : 4244
PrivateFrameworks/BrightnessControl : 9
PrivateFrameworks/BulkSymbolication : 43
PrivateFrameworks/ByteRangeLocking : 3684
PrivateFrameworks/C2 : 756
PrivateFrameworks/CMCapture : 4
PrivateFrameworks/CMCaptureCore : 4
PrivateFrameworks/CPMLBestShim : 4005
PrivateFrameworks/CPMS : 86
PrivateFrameworks/CSCSupport : 18
PrivateFrameworks/CVNLP : 298
PrivateFrameworks/CacheDelete : 34
PrivateFrameworks/CalDAV : 214
PrivateFrameworks/Calculate : 61
PrivateFrameworks/CalendarAgent : 23
PrivateFrameworks/CalendarAgentLink : 82
PrivateFrameworks/CalendarDraw : 82
PrivateFrameworks/CalendarFoundation : 22
PrivateFrameworks/CalendarNotification : 26
PrivateFrameworks/CalendarPersistence : 33
PrivateFrameworks/CalendarUI : 28
PrivateFrameworks/CalendarUIKit : 14
PrivateFrameworks/CalendarWidget : 22
PrivateFrameworks/CallHistory : 64
PrivateFrameworks/CameraImagingFramework : 5911
PrivateFrameworks/CaptiveNetwork : 128
PrivateFrameworks/CardKit : 277
PrivateFrameworks/CardServices : 277
PrivateFrameworks/Cards : 277
PrivateFrameworks/Catalyst : 2979
PrivateFrameworks/Categories : 31
PrivateFrameworks/CharacterPicker : 118
PrivateFrameworks/ChronoKit : 60
PrivateFrameworks/ChronoServices : 60
PrivateFrameworks/ChronoUIServices : 31
PrivateFrameworks/ChunkingLibrary : 1207
PrivateFrameworks/ClassKit : 14
PrivateFrameworks/ClassKitUI : 14
PrivateFrameworks/ClassroomKit : 146
PrivateFrameworks/ClockKit : 6
PrivateFrameworks/ClockMenuExtraPreferences : 82
PrivateFrameworks/CloudDocs : 10
PrivateFrameworks/CloudFamilyRestrictions : 269
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 269
PrivateFrameworks/CloudKitCode : 840
PrivateFrameworks/CloudKitCodeProtobuf : 840
PrivateFrameworks/CloudKitDaemon : 300
PrivateFrameworks/CloudServices : 207
PrivateFrameworks/Coherence : 4107
PrivateFrameworks/CombineCocoa : 124
PrivateFrameworks/CommerceKit : 188
PrivateFrameworks/CommonAuth : 136
PrivateFrameworks/CommonUtilities : 126
