Applications/Developer : 840.2.2
PrivateFrameworks/ConsoleKit : 14
PrivateFrameworks/ConstantClasses : 1026
PrivateFrameworks/ContactsAgent : 135
PrivateFrameworks/ContactsAssistantServices : 1917
PrivateFrameworks/ContactsAutocomplete : 92
PrivateFrameworks/ContactsAutocompleteUI : 705
PrivateFrameworks/ContactsDonation : 863
PrivateFrameworks/ContactsDonationFeedback : 863
PrivateFrameworks/ContactsFoundation : 1208
PrivateFrameworks/ContactsPersistence : 85
PrivateFrameworks/ContactsUICore : 323
PrivateFrameworks/ContactsUIMacHelper : 233
PrivateFrameworks/ContentKit : 88
PrivateFrameworks/ContextKit : 1127
PrivateFrameworks/ContextKitExtraction : 1096
PrivateFrameworks/ContextualActionsClient : 9
PrivateFrameworks/ControlCenter : 21
PrivateFrameworks/CoreADI : 443
PrivateFrameworks/CoreAUC : 49
PrivateFrameworks/CoreAVCHD : 4592
PrivateFrameworks/CoreAccessories : 93
PrivateFrameworks/CoreAnalytics : 12
PrivateFrameworks/CoreAppleCVA : 781
PrivateFrameworks/CoreAutoLayout : 262
PrivateFrameworks/CoreBrightness : 41
PrivateFrameworks/CoreCDP : 178
PrivateFrameworks/CoreCDPInternal : 178
PrivateFrameworks/CoreCDPUI : 178
PrivateFrameworks/CoreCapture : 1868
PrivateFrameworks/CoreCaptureControl : 1868
PrivateFrameworks/CoreCaptureDaemon : 1868
PrivateFrameworks/CoreChart : 1364
PrivateFrameworks/CoreDAV : 856
PrivateFrameworks/CoreDaemon : 1227
PrivateFrameworks/CoreDuet : 49
PrivateFrameworks/CoreDuetContext : 49
PrivateFrameworks/CoreDuetDaemonProtocol : 49
PrivateFrameworks/CoreDuetDataModel : 49
PrivateFrameworks/CoreDuetDebugLogging : 49
PrivateFrameworks/CoreDuetStatistics : 49
PrivateFrameworks/CoreDuetSync : 49
PrivateFrameworks/CoreEmoji : 704
PrivateFrameworks/CoreFollowUp : 15
PrivateFrameworks/CoreFollowUpUI : 15
PrivateFrameworks/CoreHAP : 36
PrivateFrameworks/CoreHandwriting : 1134
PrivateFrameworks/CoreJapaneseEngine : 569
PrivateFrameworks/CoreKDL : 3905
PrivateFrameworks/CoreKE : 251
PrivateFrameworks/CoreKnowledge : 1978
PrivateFrameworks/CoreLSKD : 365
PrivateFrameworks/CoreLSKDMSE : 1301
PrivateFrameworks/CoreLocationProtobuf : 1192
PrivateFrameworks/CoreMLTestFramework : 355
PrivateFrameworks/CoreMaterial : 119
PrivateFrameworks/CoreMediaStream : 12
PrivateFrameworks/CoreNameParser : 4406
PrivateFrameworks/CoreOptimization : 5580
PrivateFrameworks/CorePDF : 2880
PrivateFrameworks/CoreParsec : 24
PrivateFrameworks/CorePhoneNumbers : 8
PrivateFrameworks/CorePrediction : 5580
PrivateFrameworks/CoreRC : 1890
PrivateFrameworks/CoreRE : 69
PrivateFrameworks/CoreRecents : 1189
PrivateFrameworks/CoreRecognition : 2178
PrivateFrameworks/CoreRoutine : 287
PrivateFrameworks/CoreSDB : 1288
PrivateFrameworks/CoreSVG : 2006
PrivateFrameworks/CoreServicesInternal : 481
PrivateFrameworks/CoreServicesStore : 23
PrivateFrameworks/CoreSpeech : 107
PrivateFrameworks/CoreSuggestions : 244
PrivateFrameworks/CoreSuggestionsInternals : 244
PrivateFrameworks/CoreSuggestionsML : 244
PrivateFrameworks/CoreSuggestionsUI : 244
PrivateFrameworks/CoreSymbolication : 833
PrivateFrameworks/CoreThemeDefinition : 1508
PrivateFrameworks/CoreTime : 524
PrivateFrameworks/CoreUARP : 58
PrivateFrameworks/CoreUI : 22
PrivateFrameworks/CoreUtils : 696
PrivateFrameworks/CoreUtilsSwift : 8943
PrivateFrameworks/CoreUtilsUI : 647
PrivateFrameworks/CoreWiFi : 7
PrivateFrameworks/CrashReporterSupport : 16
PrivateFrameworks/CreateML : 22
PrivateFrameworks/CryptoKitCBridging : 90
PrivateFrameworks/CryptoKitPrivate : 90
PrivateFrameworks/DAAPKit : 61
PrivateFrameworks/DASDaemon : 17
PrivateFrameworks/DCERPC : 1465
PrivateFrameworks/DCIMServices : 12
PrivateFrameworks/DFRBrightness : 41
PrivateFrameworks/DFRDisplay : 786
PrivateFrameworks/DFRFoundation : 100
PrivateFrameworks/DSExternalDisplay : 1359
PrivateFrameworks/DTXConnectionServices : 127
PrivateFrameworks/DVD : 16056
PrivateFrameworks/DataDeliveryServices : 54
PrivateFrameworks/DataDetectors : 269
PrivateFrameworks/DataDetectorsCore : 2139
PrivateFrameworks/DataDetectorsNaturalLanguage : 3167
PrivateFrameworks/DebugSymbols : 784
PrivateFrameworks/DesktopServicesPriv : 127
PrivateFrameworks/DeviceCheckInternal : 1143
PrivateFrameworks/DeviceLink : 2846
PrivateFrameworks/DeviceManagement : 1819
PrivateFrameworks/DeviceToDeviceManager : 16076
PrivateFrameworks/DiagnosticExtensions : 2594
PrivateFrameworks/DiagnosticExtensionsDaemon : 139
PrivateFrameworks/DiagnosticLogCollection : 996
PrivateFrameworks/DiagnosticRequest : 1804
PrivateFrameworks/DiagnosticRequestService : 2100
PrivateFrameworks/DiagnosticsKit : 1954
PrivateFrameworks/DialogEngine : 128
PrivateFrameworks/DifferentialPrivacy : 68
PrivateFrameworks/DigitalTouchShared : 771
PrivateFrameworks/DirectoryEditor : 1340
PrivateFrameworks/DirectoryServer : 12614
PrivateFrameworks/DiskImages : 788
PrivateFrameworks/DiskImages2 : 4331
PrivateFrameworks/DiskSpaceDiagnostics : 757
PrivateFrameworks/DisplayServices : 1575
PrivateFrameworks/DisplayTransportServices : 3381
PrivateFrameworks/DistributedEvaluation : 2754
PrivateFrameworks/DocumentCamera : 5580
PrivateFrameworks/DuetActivityScheduler : 17
PrivateFrameworks/DuetRecommendation : 49
PrivateFrameworks/EAFirmwareUpdater : 58
PrivateFrameworks/EAP8021X : 1203
PrivateFrameworks/EFILogin : 53
PrivateFrameworks/EasyConfig : 696
PrivateFrameworks/EmbeddedOSInstall : 470
PrivateFrameworks/EmbeddedOSSupportHost : 184
PrivateFrameworks/EmbeddedSensingProtocols : 2838
PrivateFrameworks/EmojiFoundation : 541
PrivateFrameworks/Engram : 996
PrivateFrameworks/Espresso : 918
PrivateFrameworks/ExchangeSync : 637
PrivateFrameworks/ExchangeWebServices : 863
PrivateFrameworks/ExpansionSlotSupport : 419
PrivateFrameworks/ExtensionFoundation : 237
PrivateFrameworks/ExtensionKit : 237
PrivateFrameworks/FMClient : 10729
PrivateFrameworks/FMCore : 1972
PrivateFrameworks/FMCoreLite : 1977
PrivateFrameworks/FMCoreUI : 1247
PrivateFrameworks/FMF : 485
PrivateFrameworks/FMFUI : 485
PrivateFrameworks/FMNetworking : 21
PrivateFrameworks/FTAWD : 996
PrivateFrameworks/FTClientServices : 8
PrivateFrameworks/FTServices : 8
PrivateFrameworks/FWAVC : 1755
PrivateFrameworks/FaceCore : 907
PrivateFrameworks/FamilyCircle : 496
PrivateFrameworks/FamilyCircleUI : 496
PrivateFrameworks/FamilyControls : 964
PrivateFrameworks/FamilyNotification : 496
PrivateFrameworks/FeatureFlags : 790
PrivateFrameworks/FeatureFlagsSupport : 790
PrivateFrameworks/FeedbackLogger : 120
PrivateFrameworks/FilesActionsUI : 1631
PrivateFrameworks/FindMyDevice : 103
PrivateFrameworks/FindMyDeviceUI : 1494
PrivateFrameworks/FindMyMac : 422
PrivateFrameworks/FlightUtilities : 1115
PrivateFrameworks/FlightUtilitiesCore : 1115
PrivateFrameworks/FlowFrameKit : 140
PrivateFrameworks/FolderActionsKit : 861
PrivateFrameworks/FontServices : 876
PrivateFrameworks/FoundInAppsPlugins : 451
PrivateFrameworks/FrontBoardServices : 141
PrivateFrameworks/FuseBoard : 241
PrivateFrameworks/FuseBoardServices : 252
PrivateFrameworks/FusionPluginKit : 739
PrivateFrameworks/FusionPluginServices : 739
PrivateFrameworks/Futhark : 2741
PrivateFrameworks/GPUInfo : 87
PrivateFrameworks/GPURawCounter : 14
PrivateFrameworks/GPUSupport : 25
PrivateFrameworks/GameCenterFoundation : 105
PrivateFrameworks/GameCenterUI : 105
PrivateFrameworks/GameCenterUICore : 105
PrivateFrameworks/GameKitServices : 27
PrivateFrameworks/GenerationalStorage : 3583
PrivateFrameworks/GeoKit : 470
PrivateFrameworks/GeoServices : 5
PrivateFrameworks/Geode : 21
PrivateFrameworks/GraphKit : 14500
PrivateFrameworks/GraphVisualizer : 5612
PrivateFrameworks/GraphicsServices : 5960
PrivateFrameworks/H10ISPServices : 328
PrivateFrameworks/H13ISPServices : 57
PrivateFrameworks/HDAInterface : 2269
PrivateFrameworks/HDRProcessing : 235
PrivateFrameworks/HID : 29
