Applications/GitHub Desktop : 2.3.1
Applications/Safari : 15609.1.15.3.11
PrivateFrameworks/ByteRangeLocking : 2511
PrivateFrameworks/C2 : 72
PrivateFrameworks/CDDataAccess : 27
PrivateFrameworks/CDDataAccessExpress : 27
PrivateFrameworks/CPMLBestShim : 7001
PrivateFrameworks/CSCSupport : 51
PrivateFrameworks/CacheDelete : 64
PrivateFrameworks/CalDAV : 260
PrivateFrameworks/Calculate : 884
PrivateFrameworks/CalendarAgent : 229
PrivateFrameworks/CalendarAgentLink : 646
PrivateFrameworks/CalendarDraw : 696
PrivateFrameworks/CalendarFoundation : 142
PrivateFrameworks/CalendarNotification : 513
PrivateFrameworks/CalendarPersistence : 724
PrivateFrameworks/CalendarUI : 99
PrivateFrameworks/CalendarUIKit : 397
PrivateFrameworks/CallHistory : 18
PrivateFrameworks/CameraImagingFramework : 4767
PrivateFrameworks/CaptiveNetwork : 227
PrivateFrameworks/CardKit : 111
PrivateFrameworks/CardServices : 111
PrivateFrameworks/Cards : 111
PrivateFrameworks/Catalyst : 810
PrivateFrameworks/Categories : 120
PrivateFrameworks/CharacterPicker : 555
PrivateFrameworks/ChunkingLibrary : 123
PrivateFrameworks/ClassKit : 10
PrivateFrameworks/ClassroomKit : 493
PrivateFrameworks/ClockMenuExtraPreferences : 1104
PrivateFrameworks/CloudDocsDaemon : 8
PrivateFrameworks/CloudFamilyRestrictions : 1359
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 1359
PrivateFrameworks/CloudKitCode : 54
PrivateFrameworks/CloudKitCodeProtobuf : 54
PrivateFrameworks/CloudKitDaemon : 33
PrivateFrameworks/CloudServices : 12
PrivateFrameworks/Coherence : 7514
PrivateFrameworks/CombineCocoa : 89
PrivateFrameworks/CommerceKit : 41
PrivateFrameworks/CommonAuth : 308
PrivateFrameworks/CommonCandidateWindow : 10900
PrivateFrameworks/CommonUtilities : 6189
PrivateFrameworks/CommunicationsFilter : 907
PrivateFrameworks/ConditionInducer : 4208
PrivateFrameworks/ConfigProfileHelper : 54
PrivateFrameworks/ConfigurationEngineModel : 286
PrivateFrameworks/ConfigurationProfiles : 54
PrivateFrameworks/ConfigurationProfilesUI : 50
PrivateFrameworks/ConsoleKit : 503
PrivateFrameworks/ConstantClasses : 2377
PrivateFrameworks/ContactsAgent : 1370
PrivateFrameworks/ContactsAssistantServices : 1719
PrivateFrameworks/ContactsAutocomplete : 389
PrivateFrameworks/ContactsAutocompleteUI : 209
PrivateFrameworks/ContactsDonation : 2337
PrivateFrameworks/ContactsDonationFeedback : 2337
PrivateFrameworks/ContactsFoundation : 55
PrivateFrameworks/ContactsPersistence : 22
PrivateFrameworks/ContactsUICore : 64
PrivateFrameworks/ContentKit : 11
PrivateFrameworks/ContextKit : 1313
PrivateFrameworks/ConversationKit : 17
PrivateFrameworks/CoreADI : 2657
PrivateFrameworks/CoreAUC : 649
PrivateFrameworks/CoreAVCHD : 2777
PrivateFrameworks/CoreAccessories : 12
PrivateFrameworks/CoreAnalytics : 214
PrivateFrameworks/CoreAppleCVA : 512
PrivateFrameworks/CoreBrightness : 146
PrivateFrameworks/CoreCDP : 23
PrivateFrameworks/CoreCDPInternal : 23
PrivateFrameworks/CoreCDPUI : 23
PrivateFrameworks/CoreCapture : 313
PrivateFrameworks/CoreCaptureControl : 313
PrivateFrameworks/CoreCaptureDaemon : 313
PrivateFrameworks/CoreChart : 19
PrivateFrameworks/CoreChineseEngine : 1501
PrivateFrameworks/CoreDAV : 134
PrivateFrameworks/CoreDaemon : 2005
PrivateFrameworks/CoreDuet : 20
PrivateFrameworks/CoreDuetContext : 20
PrivateFrameworks/CoreDuetDaemonProtocol : 20
PrivateFrameworks/CoreDuetDataModel : 20
PrivateFrameworks/CoreDuetDebugLogging : 20
PrivateFrameworks/CoreDuetStatistics : 20
PrivateFrameworks/CoreDuetSync : 20
PrivateFrameworks/CoreEmoji : 2026
PrivateFrameworks/CoreFP : 529
PrivateFrameworks/CoreFollowUp : 1282
PrivateFrameworks/CoreFollowUpUI : 1282
PrivateFrameworks/CoreHAP : 14
PrivateFrameworks/CoreHandwriting : 1015
PrivateFrameworks/CoreKE : 322
PrivateFrameworks/CoreKnowledge : 366
PrivateFrameworks/CoreLSKD : 706
PrivateFrameworks/CoreLSKDMSE : 208
PrivateFrameworks/CoreMLTestFramework : 89
PrivateFrameworks/CoreMaterial : 668
PrivateFrameworks/CoreNLP : 1797
PrivateFrameworks/CoreNameParser : 4379
PrivateFrameworks/CoreNavigation : 195
PrivateFrameworks/CoreOptimization : 7001
PrivateFrameworks/CorePDF : 434
PrivateFrameworks/CoreParsec : 54
PrivateFrameworks/CorePrediction : 7001
PrivateFrameworks/CoreRecents : 3465
PrivateFrameworks/CoreRecognition : 105
PrivateFrameworks/CoreRoutine : 215
PrivateFrameworks/CoreSDB : 3958
PrivateFrameworks/CoreSVG : 2972
PrivateFrameworks/CoreServicesInternal : 98
PrivateFrameworks/CoreServicesStore : 83
PrivateFrameworks/CoreSpeech : 18
PrivateFrameworks/CoreSpotlightImportDaemon : 52
PrivateFrameworks/CoreSuggestions : 24
PrivateFrameworks/CoreSuggestionsInternals : 24
PrivateFrameworks/CoreSuggestionsML : 24
PrivateFrameworks/CoreSuggestionsUI : 24
PrivateFrameworks/CoreSymbolication : 42
PrivateFrameworks/CoreThemeDefinition : 244
PrivateFrameworks/CoreTime : 29
PrivateFrameworks/CoreUI : 300
PrivateFrameworks/CoreUtils : 14
PrivateFrameworks/CoreUtilsSwift : 3619
PrivateFrameworks/CoreUtilsUI : 11
PrivateFrameworks/CoreWLANKit : 254
PrivateFrameworks/CoreWiFi : 409
PrivateFrameworks/CrashReporterSupport : 92
PrivateFrameworks/CreateML : 221
PrivateFrameworks/CryptoKitCBridging : 330
PrivateFrameworks/CryptoKitPrivate : 330
PrivateFrameworks/DAAPKit : 13
PrivateFrameworks/DASDaemon : 33
PrivateFrameworks/DCERPC : 2279
PrivateFrameworks/DFRBrightness : 146
PrivateFrameworks/DFRDisplay : 2192
PrivateFrameworks/DFRFoundation : 542
PrivateFrameworks/DSExternalDisplay : 407
PrivateFrameworks/DTXConnectionServices : 184
PrivateFrameworks/DVD : 14230
PrivateFrameworks/DataDeliveryServices : 32
PrivateFrameworks/DataDetectors : 624
PrivateFrameworks/DataDetectorsCore : 5190
PrivateFrameworks/DataDetectorsNaturalLanguage : 2004
PrivateFrameworks/DebugSymbols : 3315
PrivateFrameworks/DesktopServicesPriv : 20
PrivateFrameworks/DeviceCheckInternal : 8007
PrivateFrameworks/DeviceIdentity : 19
PrivateFrameworks/DeviceManagement : 286
PrivateFrameworks/DeviceToDeviceManager : 8725
PrivateFrameworks/DiagnosticExtensions : 3072
PrivateFrameworks/DiagnosticLogCollection : 93
PrivateFrameworks/DialogEngine : 16
PrivateFrameworks/DifferentialPrivacy : 13
PrivateFrameworks/DigitalTouchShared : 3306
PrivateFrameworks/DirectoryEditor : 723
PrivateFrameworks/DirectoryServer : 10825
PrivateFrameworks/DiskImages : 650
PrivateFrameworks/DiskManagement : 154
PrivateFrameworks/DisplayServices : 431
PrivateFrameworks/DisplayTransportServices : 1599
PrivateFrameworks/DistributedEvaluation : 213
PrivateFrameworks/DrawingKit : 38
PrivateFrameworks/DuetActivityScheduler : 33
PrivateFrameworks/DuetRecommendation : 20
PrivateFrameworks/DynamicDesktop : 205
PrivateFrameworks/EAFirmwareUpdater : 44
PrivateFrameworks/EAP8021X : 1624
PrivateFrameworks/EFILogin : 918
PrivateFrameworks/EasyConfig : 14
PrivateFrameworks/EmbeddedAcousticRecognition : 29
PrivateFrameworks/EmbeddedOSInstall : 2148
PrivateFrameworks/EmbeddedOSSupportHost : 230
PrivateFrameworks/EmbeddedSensingProtocols : 6745
PrivateFrameworks/EmojiFoundation : 52
PrivateFrameworks/Engram : 93
PrivateFrameworks/Espresso : 2222
