Applications/AltTab : 6.12.0
PrivateFrameworks/DocumentCamera : 5835
PrivateFrameworks/DrawingKit : 679
PrivateFrameworks/DuetActivityScheduler : 7
PrivateFrameworks/DuetRecommendation : 69
PrivateFrameworks/EAFirmwareUpdater : 20
PrivateFrameworks/EAP8021X : 1293
PrivateFrameworks/EFILogin : 109
PrivateFrameworks/EasyConfig : 782
PrivateFrameworks/EmbeddedAcousticRecognition : 205
PrivateFrameworks/EmbeddedOSInstall : 712
PrivateFrameworks/EmbeddedOSSupportHost : 10
PrivateFrameworks/EmbeddedSensingProtocols : 3128
PrivateFrameworks/EmojiFoundation : 567
PrivateFrameworks/Engram : 1042
PrivateFrameworks/Espresso : 1136
PrivateFrameworks/ExchangeSync : 685
PrivateFrameworks/ExchangeWebServices : 928
PrivateFrameworks/ExpansionSlotSupport : 441
PrivateFrameworks/ExtensionFoundation : 259
PrivateFrameworks/ExtensionKit : 259
PrivateFrameworks/FMClient : 11172
PrivateFrameworks/FMCore : 2224
PrivateFrameworks/FMCoreLite : 2225
PrivateFrameworks/FMCoreUI : 1407
PrivateFrameworks/FMF : 1376
PrivateFrameworks/FMFUI : 1376
PrivateFrameworks/FMNetworking : 1
PrivateFrameworks/FTAWD : 1042
PrivateFrameworks/FTClientServices : 14
PrivateFrameworks/FTServices : 14
PrivateFrameworks/FWAVC : 1860
PrivateFrameworks/FaceCore : 963
PrivateFrameworks/FamilyCircle : 537
PrivateFrameworks/FamilyCircleUI : 537
PrivateFrameworks/FamilyControls : 1025
PrivateFrameworks/FamilyNotification : 537
PrivateFrameworks/FeatureFlags : 989
PrivateFrameworks/FeatureFlagsSupport : 989
PrivateFrameworks/FeedbackLogger : 135
PrivateFrameworks/FilesActionsUI : 1790
PrivateFrameworks/FindMyDevice : 21
PrivateFrameworks/FindMyDeviceUI : 1584
PrivateFrameworks/FindMyMac : 496
PrivateFrameworks/FinderKit : 29
PrivateFrameworks/FinderSyncPriv : 29
PrivateFrameworks/FlightUtilities : 1267
PrivateFrameworks/FlightUtilitiesCore : 1267
PrivateFrameworks/FlowFrameKit : 9
PrivateFrameworks/FolderActionsKit : 922
PrivateFrameworks/FontServices : 931
PrivateFrameworks/FoundInAppsPlugins : 9
PrivateFrameworks/FoundationODR : 32
PrivateFrameworks/FrontBoardServices : 157
PrivateFrameworks/FuseBoard : 314
PrivateFrameworks/FuseBoardServices : 315
PrivateFrameworks/FusionPluginKit : 794
PrivateFrameworks/FusionPluginServices : 794
PrivateFrameworks/Futhark : 2938
PrivateFrameworks/GPUInfo : 90
PrivateFrameworks/GPURawCounter : 17
PrivateFrameworks/GPUSupport : 28
PrivateFrameworks/GPUWrangler : 30
PrivateFrameworks/GameCenterFoundation : 219
PrivateFrameworks/GameCenterUI : 219
PrivateFrameworks/GameCenterUICore : 219
PrivateFrameworks/GameKitServices : 1402
PrivateFrameworks/GenerationalStorage : 3613
PrivateFrameworks/GeoKit : 532
PrivateFrameworks/GeoServices : 2
PrivateFrameworks/Geode : 118
PrivateFrameworks/GraphKit : 14556
PrivateFrameworks/GraphVisualizer : 5667
PrivateFrameworks/GraphicsServices : 6118
PrivateFrameworks/H10ISPServices : 462
PrivateFrameworks/H13ISPServices : 17
PrivateFrameworks/HDAInterface : 2328
PrivateFrameworks/HDRProcessing : 246
PrivateFrameworks/HID : 15
PrivateFrameworks/HIDAnalytics : 15
PrivateFrameworks/HIDDisplay : 15
PrivateFrameworks/HIDPreferences : 15
PrivateFrameworks/HMFoundation : 994
PrivateFrameworks/HTTPServer : 864
PrivateFrameworks/HeimODAdmin : 7
PrivateFrameworks/Heimdal : 36
PrivateFrameworks/Helium : 954
PrivateFrameworks/HelloWorldMacHelper : 315
PrivateFrameworks/HelpData : 656
PrivateFrameworks/HomeAI : 334
PrivateFrameworks/HomeAutomationInternal : 12
PrivateFrameworks/IAP : 3233
PrivateFrameworks/IASUtilities : 129
PrivateFrameworks/IDS : 14
PrivateFrameworks/IDSFoundation : 14
PrivateFrameworks/IDSHashPersistence : 72
PrivateFrameworks/IDSKVStore : 72
PrivateFrameworks/IDSSystemPreferencesSignIn : 14
PrivateFrameworks/IMAVCore : 5267
PrivateFrameworks/IMAssistantCore : 39
PrivateFrameworks/IMCore : 39
PrivateFrameworks/IMCorePipeline : 39
PrivateFrameworks/IMDMessageServices : 39
PrivateFrameworks/IMDPersistence : 39
PrivateFrameworks/IMDaemonCore : 39
PrivateFrameworks/IMFoundation : 1042
PrivateFrameworks/IMSharedUI : 39
PrivateFrameworks/IMSharedUtilities : 39
PrivateFrameworks/IMTranscoderAgent : 39
PrivateFrameworks/IMTranscoding : 39
PrivateFrameworks/IMTransferAgent : 39
PrivateFrameworks/IMTransferServices : 1042
PrivateFrameworks/IOAccelMemoryInfo : 752
PrivateFrameworks/IOAccelerator : 752
PrivateFrameworks/IOCEC : 24266
PrivateFrameworks/IOGPU : 49
PrivateFrameworks/IOImageLoader : 3330
PrivateFrameworks/IOKitten : 3691
