Applications/GitHub Desktop : 2.5.6
Applications/Safari : 16610.2.6.1.6
PrivateFrameworks/AppSupport : 1438
PrivateFrameworks/AppSupportUI : 2490
PrivateFrameworks/AppleAccount : 14
PrivateFrameworks/AppleAppSupport : 920
PrivateFrameworks/AppleCVA : 286
PrivateFrameworks/AppleFSCompression : 6846
PrivateFrameworks/AppleFirmwareUpdate : 129
PrivateFrameworks/AppleGVA : 24
PrivateFrameworks/AppleGVACore : 24
PrivateFrameworks/AppleHIDTransportSupport : 1009
PrivateFrameworks/AppleIDAuthSupport : 1293
PrivateFrameworks/AppleIDSSOAuthentication : 708
PrivateFrameworks/AppleJPEG : 165
PrivateFrameworks/AppleLDAP : 1105
PrivateFrameworks/AppleLOM : 30
PrivateFrameworks/AppleMediaServices : 27
PrivateFrameworks/AppleMediaServicesUIDynamic : 42
PrivateFrameworks/AppleNVMe : 303
PrivateFrameworks/AppleNeuralEngine : 89
PrivateFrameworks/ApplePDPHelper : 11982
PrivateFrameworks/ApplePushService : 275
PrivateFrameworks/AppleSRP : 14449
PrivateFrameworks/AppleSauce : 1875
PrivateFrameworks/AppleScript : 14
PrivateFrameworks/AppleServiceToolkit : 1380
PrivateFrameworks/AppleShareClientCore : 489
PrivateFrameworks/AppleSystemInfo : 61
PrivateFrameworks/AppleVA : 293
PrivateFrameworks/AppleVPA : 241
PrivateFrameworks/AskPermission : 348
PrivateFrameworks/AssertionServices : 60
PrivateFrameworks/AssetCacheServices : 275
PrivateFrameworks/AssetCacheServicesExtensions : 275
PrivateFrameworks/AssetViewer : 16
PrivateFrameworks/AssetsLibraryServices : 222
PrivateFrameworks/AssistantServices : 69
PrivateFrameworks/AssistiveControlSupport : 14
PrivateFrameworks/AttributeGraph : 53
PrivateFrameworks/AudioAnalytics : 167
PrivateFrameworks/AudioDSPManager : 590
PrivateFrameworks/AudioHistory : 590
PrivateFrameworks/AudioPasscode : 526
PrivateFrameworks/AudioResourceArbitration : 94
PrivateFrameworks/AudioServerApplication : 114
PrivateFrameworks/AudioServerDriver : 114
PrivateFrameworks/AudioSession : 26
PrivateFrameworks/AudioTransportCommon : 1690
PrivateFrameworks/AuthKit : 15
PrivateFrameworks/AuthKitUI : 15
