Applications/AltTab : 2.3.4
PrivateFrameworks/AppleVPA : 250
PrivateFrameworks/AskPermission : 305
PrivateFrameworks/AssetCacheServices : 62
PrivateFrameworks/AssetCacheServicesExtensions : 62
PrivateFrameworks/AssetsLibraryServices : 18
PrivateFrameworks/AssistantServices : 34
PrivateFrameworks/AssistiveControlSupport : 39
PrivateFrameworks/AttributeGraph : 178
PrivateFrameworks/AudioDSPManager : 923
PrivateFrameworks/AudioHistory : 923
PrivateFrameworks/AudioPasscode : 2763
PrivateFrameworks/AudioResourceArbitration : 900
PrivateFrameworks/AudioServerApplication : 406
PrivateFrameworks/AudioServerDriver : 406
PrivateFrameworks/AudioSession : 934
PrivateFrameworks/AudioToolboxCore : 16
PrivateFrameworks/AudioTransportCommon : 3162
PrivateFrameworks/AuthKitUI : 30
PrivateFrameworks/AuthenticationServices : 4
PrivateFrameworks/AutoBugCaptureCore : 237
PrivateFrameworks/AutoLoop : 3989
PrivateFrameworks/BackgroundTaskManagement : 124
PrivateFrameworks/BaseBoard : 1074
PrivateFrameworks/BatteryUIKit : 4593
PrivateFrameworks/BehaviorMiner : 22
PrivateFrameworks/BezelServices : 958
PrivateFrameworks/BioKitAggD : 9514
PrivateFrameworks/BiometricKit : 462
PrivateFrameworks/BiometricKitUI : 164
PrivateFrameworks/BiometricSupport : 433
PrivateFrameworks/BluetoothManager : 52
PrivateFrameworks/BoardServices : 1074
PrivateFrameworks/Bom : 1047
PrivateFrameworks/BookCoverUtility : 134
PrivateFrameworks/BookKit : 134
PrivateFrameworks/BookKitFoundation : 134
PrivateFrameworks/BookUtility : 134
PrivateFrameworks/BridgeOSInstall : 1132
PrivateFrameworks/BridgeOSInstallReporting : 1132
PrivateFrameworks/BridgeOSObliteration : 2749
PrivateFrameworks/BridgeOSSoftwareUpdate : 424
PrivateFrameworks/BridgeXPC : 2672
PrivateFrameworks/BulkSymbolication : 42
PrivateFrameworks/ByteRangeLocking : 2734
PrivateFrameworks/C2 : 259
