Applications/DB Browser for SQLite : 3.10.1
Applications/Discord : 0.0.255
PrivateFrameworks/BookKitFoundation : 2
PrivateFrameworks/BookUtility : 2
PrivateFrameworks/BridgeOSInstall : 2
PrivateFrameworks/BridgeOSInstallReporting : 2
PrivateFrameworks/BridgeOSObliteration : 15
PrivateFrameworks/BridgeOSSoftwareUpdate : 612
PrivateFrameworks/ByteRangeLocking : 1506
PrivateFrameworks/C2 : 10
PrivateFrameworks/CDDataAccess : 24
PrivateFrameworks/CDDataAccessExpress : 24
PrivateFrameworks/CSCSupport : 7
PrivateFrameworks/CacheDelete : 14
PrivateFrameworks/CalDAV : 26
PrivateFrameworks/CalendarDraw : 5
PrivateFrameworks/CalendarFoundation : 15
PrivateFrameworks/CalendarNotification : 32
PrivateFrameworks/CalendarPersistence : 8
PrivateFrameworks/CalendarUI : 8
PrivateFrameworks/CalendarUIKit : 25
PrivateFrameworks/CallHistory : 62
PrivateFrameworks/CardKit : 9
PrivateFrameworks/CardServices : 9
PrivateFrameworks/Cards : 9
PrivateFrameworks/Categories : 29
PrivateFrameworks/ChunkingLibrary : 1168
PrivateFrameworks/ClassKit : 8
PrivateFrameworks/ClassroomKit : 50
PrivateFrameworks/CloudDocs : 11
PrivateFrameworks/CloudDocsDaemon : 9
PrivateFrameworks/CloudKitCode : 41
PrivateFrameworks/CloudKitCodeProtobuf : 41
PrivateFrameworks/CloudKitDaemon : 42
PrivateFrameworks/CloudPhotoLibrary : 1
PrivateFrameworks/CloudPhotoServices : 1
PrivateFrameworks/CloudPhotoServicesConfiguration : 1
PrivateFrameworks/CloudServices : 18
PrivateFrameworks/Coherence : 3266
PrivateFrameworks/CombineCocoa : 28
PrivateFrameworks/CommerceKit : 8
PrivateFrameworks/CommonAuth : 22
PrivateFrameworks/ConfigProfileHelper : 8
PrivateFrameworks/ConfigurationEngineModel : 30
PrivateFrameworks/ConfigurationProfiles : 8
PrivateFrameworks/ConfigurationProfilesUI : 8
PrivateFrameworks/ConsoleKit : 6
PrivateFrameworks/ConstantClasses : 1387
PrivateFrameworks/ContactsAutocomplete : 35
PrivateFrameworks/ContactsAutocompleteUI : 13
PrivateFrameworks/ContactsFoundation : 53
PrivateFrameworks/ContactsPersistence : 8
PrivateFrameworks/ContentKit : 14
PrivateFrameworks/ContextKit : 9
PrivateFrameworks/ConversationKit : 60
PrivateFrameworks/CoreAVCHD : 1776
PrivateFrameworks/CoreAccessories : 11
PrivateFrameworks/CoreAnalytics : 486
PrivateFrameworks/CoreBrightness : 15
PrivateFrameworks/CoreCDP : 30
PrivateFrameworks/CoreCDPInternal : 30
PrivateFrameworks/CoreCDPUI : 30
PrivateFrameworks/CoreCapture : 77
PrivateFrameworks/CoreCaptureControl : 77
PrivateFrameworks/CoreCaptureDaemon : 77
PrivateFrameworks/CoreChineseEngine : 4
PrivateFrameworks/CoreDaemon : 1007
PrivateFrameworks/CoreDuet : 2
PrivateFrameworks/CoreDuetContext : 2
PrivateFrameworks/CoreDuetDaemonProtocol : 2
PrivateFrameworks/CoreDuetDataModel : 2
PrivateFrameworks/CoreDuetDebugLogging : 2
PrivateFrameworks/CoreDuetStatistics : 2
PrivateFrameworks/CoreDuetSync : 2
PrivateFrameworks/CoreEmoji : 22
PrivateFrameworks/CoreFP : 6
PrivateFrameworks/CoreFollowUp : 14
PrivateFrameworks/CoreFollowUpUI : 14
PrivateFrameworks/CoreHAP : 12
PrivateFrameworks/CoreHandwriting : 8
PrivateFrameworks/CoreKE : 192
PrivateFrameworks/CoreKnowledge : 174
PrivateFrameworks/CoreLSKD : 6
PrivateFrameworks/CoreLSKDMSE : 589
PrivateFrameworks/CoreMLTestFramework : 9
PrivateFrameworks/CoreMaterial : 8
PrivateFrameworks/CoreMediaStream : 1
PrivateFrameworks/CoreNLP : 38
PrivateFrameworks/CoreNavigation : 29
PrivateFrameworks/CoreOptimization : 3445
PrivateFrameworks/CorePhoneNumbers : 16
PrivateFrameworks/CoreRE : 17
PrivateFrameworks/CoreRecognition : 16
PrivateFrameworks/CoreRoutine : 39
PrivateFrameworks/CoreSVG : 19
PrivateFrameworks/CoreServicesInternal : 12
PrivateFrameworks/CoreServicesStore : 3
PrivateFrameworks/CoreSpeech : 31
PrivateFrameworks/CoreSuggestions : 8
PrivateFrameworks/CoreSuggestionsInternals : 8
PrivateFrameworks/CoreSuggestionsML : 8
PrivateFrameworks/CoreSuggestionsUI : 8
PrivateFrameworks/CoreSymbolication : 635
PrivateFrameworks/CoreThemeDefinition : 15
PrivateFrameworks/CoreUI : 36
PrivateFrameworks/CoreUtils : 31
PrivateFrameworks/CoreUtilsSwift : 2508
PrivateFrameworks/CoreWLANKit : 5
PrivateFrameworks/CoreWiFi : 191
PrivateFrameworks/CrashReporterSupport : 8
PrivateFrameworks/CreateML : 58
PrivateFrameworks/CryptoKitCBridging : 459
PrivateFrameworks/CryptoKitPrivate : 459
PrivateFrameworks/DASDaemon : 11
PrivateFrameworks/DCERPC : 1172
PrivateFrameworks/DCIMServices : 1
PrivateFrameworks/DFRBrightness : 15
PrivateFrameworks/DFRDisplay : 450
PrivateFrameworks/DFRFoundation : 10
PrivateFrameworks/DSExternalDisplay : 154
PrivateFrameworks/DTXConnectionServices : 247
PrivateFrameworks/DVD : 13221
PrivateFrameworks/DataDeliveryServices : 8246
PrivateFrameworks/DataDetectors : 8
PrivateFrameworks/DataDetectorsCore : 802
PrivateFrameworks/DesktopServicesPriv : 8
PrivateFrameworks/DeviceCheckInternal : 5225
PrivateFrameworks/DeviceIdentity : 29
PrivateFrameworks/DeviceLink : 26
PrivateFrameworks/DeviceManagement : 30
PrivateFrameworks/DeviceToDeviceManager : 4583
PrivateFrameworks/DiagnosticLogCollection : 39
PrivateFrameworks/DigitalTouchShared : 2791
PrivateFrameworks/DiskImages : 1
PrivateFrameworks/DiskManagement : 5
PrivateFrameworks/DistributedEvaluation : 99
PrivateFrameworks/DrawingKit : 26
PrivateFrameworks/DuetActivityScheduler : 11
PrivateFrameworks/DuetRecommendation : 2
PrivateFrameworks/DynamicDesktop : 13
PrivateFrameworks/EAFirmwareUpdater : 24
PrivateFrameworks/EAP8021X : 11
PrivateFrameworks/EasyConfig : 31
PrivateFrameworks/Email : 70
PrivateFrameworks/EmailAddressing : 70
PrivateFrameworks/EmailCore : 70
PrivateFrameworks/EmailDaemon : 70
PrivateFrameworks/EmailFoundation : 70
PrivateFrameworks/EmbeddedAcousticRecognition : 99
PrivateFrameworks/EmbeddedOSInstall : 906
PrivateFrameworks/EmbeddedOSSupportHost : 47
PrivateFrameworks/EmbeddedSensingProtocols : 2527
PrivateFrameworks/Engram : 39
PrivateFrameworks/Espresso : 1259
PrivateFrameworks/ExchangeSync : 5
PrivateFrameworks/ExpansionSlotSupport : 7
PrivateFrameworks/FMClient : 199
PrivateFrameworks/FMF : 29
PrivateFrameworks/FMFCore : 10
PrivateFrameworks/FMFUI : 29
PrivateFrameworks/FMIPCore : 10
PrivateFrameworks/FMNetworking : 20
PrivateFrameworks/FTAWD : 39
PrivateFrameworks/FWAVC : 88
PrivateFrameworks/FamilyCircle : 31
PrivateFrameworks/FamilyCircleUI : 31
PrivateFrameworks/FamilyNotification : 31
PrivateFrameworks/FileProvider : 10
PrivateFrameworks/FileProviderDaemon : 10
PrivateFrameworks/FindMyDeviceUI : 8
PrivateFrameworks/FinderKit : 8
PrivateFrameworks/FinderSyncPriv : 8
PrivateFrameworks/FoundInAppsPlugins : 22
PrivateFrameworks/FrontBoardServices : 16
PrivateFrameworks/GPUInfo : 73
PrivateFrameworks/GPUSupport : 895
PrivateFrameworks/GPUWrangler : 7
PrivateFrameworks/GameCenterFoundation : 422
PrivateFrameworks/GameCenterUI : 422
PrivateFrameworks/GameCenterUICore : 422
PrivateFrameworks/GameKitServices : 1
PrivateFrameworks/GenerationalStorage : 24
PrivateFrameworks/GeoServices : 8
PrivateFrameworks/Geode : 1
PrivateFrameworks/HID : 34
PrivateFrameworks/HIDAnalytics : 29
PrivateFrameworks/HIDDisplay : 29
PrivateFrameworks/HMFoundation : 10
PrivateFrameworks/HearingCore : 22
PrivateFrameworks/HearingUtilities : 22
PrivateFrameworks/HeimODAdmin : 5
PrivateFrameworks/Heimdal : 22
PrivateFrameworks/Helium : 202
PrivateFrameworks/HelloWorldMacHelper : 10
PrivateFrameworks/HomeAI : 30
