Applications/Discord : 0.0.260
PrivateFrameworks/CVNLP : 824
PrivateFrameworks/CacheDelete : 242
PrivateFrameworks/CalDAV : 831
PrivateFrameworks/Calculate : 664
PrivateFrameworks/CalendarAgent : 482
PrivateFrameworks/CalendarAgentLink : 687
PrivateFrameworks/CalendarDraw : 732
PrivateFrameworks/CalendarFoundation : 101
PrivateFrameworks/CalendarNotification : 302
PrivateFrameworks/CalendarPersistence : 55
PrivateFrameworks/CalendarUI : 371
PrivateFrameworks/CalendarUIKit : 485
PrivateFrameworks/CalendarWidget : 1243
PrivateFrameworks/CallHistory : 111
PrivateFrameworks/CameraImagingFramework : 6516
PrivateFrameworks/CaptiveNetwork : 605
PrivateFrameworks/CardKit : 486
PrivateFrameworks/CardServices : 486
PrivateFrameworks/Cards : 486
PrivateFrameworks/Catalyst : 4857
PrivateFrameworks/Categories : 1828
PrivateFrameworks/CharacterPicker : 383
PrivateFrameworks/ChronoKit : 38
PrivateFrameworks/ChronoServices : 38
PrivateFrameworks/ChronoUIServices : 16
PrivateFrameworks/ChunkingLibrary : 3097
PrivateFrameworks/ClassKit : 54
PrivateFrameworks/ClassKitUI : 54
PrivateFrameworks/ClassroomKit : 90
PrivateFrameworks/ClockMenuExtraPreferences : 670
PrivateFrameworks/CloudDocs : 87
PrivateFrameworks/CloudDocsDaemon : 97
PrivateFrameworks/CloudFamilyRestrictions : 883
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 883
PrivateFrameworks/CloudKitCode : 1154
PrivateFrameworks/CloudKitCodeProtobuf : 1154
PrivateFrameworks/CloudKitDaemon : 484
PrivateFrameworks/Coherence : 6072
PrivateFrameworks/CombineCocoa : 1816
PrivateFrameworks/CommerceKit : 10
PrivateFrameworks/CommonAuth : 980
PrivateFrameworks/CommonUtilities : 13528
PrivateFrameworks/CommunicationsFilter : 5056
PrivateFrameworks/ConditionInducer : 2050
PrivateFrameworks/ConfigProfileHelper : 180
PrivateFrameworks/ConfigurationEngineModel : 1769
PrivateFrameworks/ConfigurationProfiles : 180
PrivateFrameworks/ConfigurationProfilesUI : 75
PrivateFrameworks/ConsoleKit : 8
PrivateFrameworks/ConstantClasses : 986
PrivateFrameworks/ContactsAgent : 110
PrivateFrameworks/ContactsAssistantServices : 1781
PrivateFrameworks/ContactsAutocomplete : 66
PrivateFrameworks/ContactsAutocompleteUI : 644
PrivateFrameworks/ContactsDonation : 773
PrivateFrameworks/ContactsDonationFeedback : 773
PrivateFrameworks/ContactsFoundation : 1094
PrivateFrameworks/ContactsPersistence : 62
PrivateFrameworks/ContactsUICore : 275
PrivateFrameworks/ContactsUIMacHelper : 162
PrivateFrameworks/ContentKit : 100
PrivateFrameworks/ContextKit : 1074
PrivateFrameworks/ContextKitExtraction : 1043
PrivateFrameworks/ContextualActionsClient : 5
PrivateFrameworks/ConversationKit : 122
PrivateFrameworks/CoreADI : 408
PrivateFrameworks/CoreAUC : 37
PrivateFrameworks/CoreAVCHD : 4557
PrivateFrameworks/CoreAccessories : 171
PrivateFrameworks/CoreAnalytics : 13
PrivateFrameworks/CoreAppleCVA : 760
PrivateFrameworks/CoreAutoLayout : 222
PrivateFrameworks/CoreBrightness : 26
PrivateFrameworks/CoreCDP : 133
PrivateFrameworks/CoreCDPInternal : 133
PrivateFrameworks/CoreCDPUI : 133
PrivateFrameworks/CoreCapture : 1856
PrivateFrameworks/CoreCaptureControl : 1856
PrivateFrameworks/CoreCaptureDaemon : 1856
PrivateFrameworks/CoreChart : 1196
PrivateFrameworks/CoreChineseEngine : 5
PrivateFrameworks/CoreDAV : 820
PrivateFrameworks/CoreDaemon : 1192
PrivateFrameworks/CoreDuet : 394
PrivateFrameworks/CoreDuetContext : 394
PrivateFrameworks/CoreDuetDaemonProtocol : 394
PrivateFrameworks/CoreDuetDataModel : 394
PrivateFrameworks/CoreDuetDebugLogging : 394
PrivateFrameworks/CoreDuetStatistics : 394
PrivateFrameworks/CoreDuetSync : 394
PrivateFrameworks/CoreEmoji : 678
PrivateFrameworks/CoreFP : 129
PrivateFrameworks/CoreFollowUp : 195
PrivateFrameworks/CoreFollowUpUI : 195
PrivateFrameworks/CoreHandwriting : 1104
PrivateFrameworks/CoreJapaneseEngine : 543
PrivateFrameworks/CoreKDL : 3760
PrivateFrameworks/CoreKE : 223
PrivateFrameworks/CoreKnowledge : 1965
PrivateFrameworks/CoreLSKD : 337
PrivateFrameworks/CoreLSKDMSE : 1266
PrivateFrameworks/CoreLocationProtobuf : 1064
PrivateFrameworks/CoreMLTestFramework : 321
PrivateFrameworks/CoreNLP : 1971
PrivateFrameworks/CoreNameParser : 4205
PrivateFrameworks/CoreNavigation : 218
PrivateFrameworks/CoreOptimization : 5535
PrivateFrameworks/CorePDF : 2713
PrivateFrameworks/CoreParsec : 19
PrivateFrameworks/CorePhoneNumbers : 66
PrivateFrameworks/CorePrediction : 5535
PrivateFrameworks/CoreRC : 1835
PrivateFrameworks/CoreRecents : 1073
PrivateFrameworks/CoreRecognition : 2017
PrivateFrameworks/CoreRoutine : 134
PrivateFrameworks/CoreSDB : 1187
PrivateFrameworks/CoreSVG : 1841
PrivateFrameworks/CoreServicesInternal : 452
PrivateFrameworks/CoreServicesStore : 11
PrivateFrameworks/CoreSpeech : 59
PrivateFrameworks/CoreSuggestions : 223
PrivateFrameworks/CoreSuggestionsInternals : 223
PrivateFrameworks/CoreSuggestionsML : 223
PrivateFrameworks/CoreSuggestionsUI : 223
PrivateFrameworks/CoreSymbolication : 778
PrivateFrameworks/CoreThemeDefinition : 1408
PrivateFrameworks/CoreTime : 499
PrivateFrameworks/CoreUARP : 92
PrivateFrameworks/CoreUI : 15
PrivateFrameworks/CoreUtils : 593
PrivateFrameworks/CoreUtilsSwift : 8686
PrivateFrameworks/CoreUtilsUI : 553
PrivateFrameworks/CoreWiFi : 9
PrivateFrameworks/CrashReporterSupport : 68
PrivateFrameworks/CreateML : 16
PrivateFrameworks/CryptoKitCBridging : 48
PrivateFrameworks/CryptoKitPrivate : 48
PrivateFrameworks/DAAPKit : 50
PrivateFrameworks/DASDaemon : 6
PrivateFrameworks/DCERPC : 1394
PrivateFrameworks/DFRBrightness : 26
PrivateFrameworks/DFRDisplay : 743
PrivateFrameworks/DFRFoundation : 65
PrivateFrameworks/DSExternalDisplay : 1322
PrivateFrameworks/DTXConnectionServices : 116
PrivateFrameworks/DVD : 16021
PrivateFrameworks/DataDeliveryServices : 1277
PrivateFrameworks/DataDetectors : 230
PrivateFrameworks/DataDetectorsCore : 2008
PrivateFrameworks/DataDetectorsNaturalLanguage : 3077
PrivateFrameworks/DebugSymbols : 747
PrivateFrameworks/DesktopServicesPriv : 98
PrivateFrameworks/DeviceCheckInternal : 1065
PrivateFrameworks/DeviceIdentity : 50
