PrivateFrameworks/PhotosPlayer : 101.11.103
PrivateFrameworks/PhotosUICore : 101.11.103
PrivateFrameworks/PipelineKit : 101.11.103
PrivateFrameworks/PlacesKit : 101.11.103
PrivateFrameworks/ProVideo : 442.1.42
PrivateFrameworks/ProactiveEventTracker : 252
PrivateFrameworks/ProactiveExperiments : 1020
PrivateFrameworks/ProactiveExperimentsInternals : 1020
PrivateFrameworks/ProactiveML : 1020
PrivateFrameworks/ProactiveSupport : 252
PrivateFrameworks/ProactiveSupportStubs : 252
PrivateFrameworks/ProofReader : 487
PrivateFrameworks/QuickLookIosmac : 892.1
PrivateFrameworks/RTCReporting : 10.52
PrivateFrameworks/Rapport : 180.10
PrivateFrameworks/RapportUI : 180.10
PrivateFrameworks/RemoteServiceDiscovery : 1732
PrivateFrameworks/RemoteXPC : 1732
PrivateFrameworks/ResponseKit : 145
PrivateFrameworks/Reveal : 18
PrivateFrameworks/RevealCore : 18
PrivateFrameworks/RunningBoard : 215
PrivateFrameworks/RunningBoardServices : 215
PrivateFrameworks/Safari : 15608.1.34.1.1
PrivateFrameworks/SafariCore : 15608.1.34.1.1
PrivateFrameworks/SafariFoundation : 15608.1.34.1.1
PrivateFrameworks/SafariSafeBrowsing : 15608.1.34.1.1
PrivateFrameworks/SafariShared : 15608.1.34.1.1
PrivateFrameworks/SampleAnalysis : 240
PrivateFrameworks/ScreenReader : 673
PrivateFrameworks/ScreenReaderCore : 673
PrivateFrameworks/ScreenSharing : 499.45
PrivateFrameworks/ScreenTimeCore : 282
PrivateFrameworks/ScreenTimeServiceUI : 282
PrivateFrameworks/ScreenTimeUI : 282
PrivateFrameworks/SearchFoundation : 298
PrivateFrameworks/SecCodeWrapper : 445
PrivateFrameworks/ShareKit : 626.1
PrivateFrameworks/ShareServicesCore : 101.11.103
PrivateFrameworks/ShareSheet : 1433
PrivateFrameworks/SharedWebCredentials : 207
PrivateFrameworks/Sharing : 1433
PrivateFrameworks/SharingXPCServices : 1433
PrivateFrameworks/SidecarCore : 163
PrivateFrameworks/SidecarUI : 163
PrivateFrameworks/SignpostCollection : 40
PrivateFrameworks/SignpostMetrics : 40
PrivateFrameworks/SignpostNotification : 40
PrivateFrameworks/SignpostSupport : 40
PrivateFrameworks/SiriFoundation : 200.0.37
PrivateFrameworks/SiriUI : 200.0.37
PrivateFrameworks/SoftwareUpdate : 1274
PrivateFrameworks/SpeechObjects : 9.0.11
PrivateFrameworks/SpeechRecognitionCommandServices : 3.0.63
PrivateFrameworks/SpeechRecognitionCore : 6.0.68
PrivateFrameworks/Spotlight : 2050.1
PrivateFrameworks/SpotlightIndex : 2050.1
PrivateFrameworks/SpotlightServerKit : 2050.1
PrivateFrameworks/SpotlightServices : 2050.1
PrivateFrameworks/StorageKit : 577
PrivateFrameworks/StoreFoundation : 709.0.62
PrivateFrameworks/StoreJavaScript : 709.0.62
PrivateFrameworks/StoreUI : 709.0.62
PrivateFrameworks/SuggestionsSpotlightMetrics : 1020
PrivateFrameworks/SymptomDiagnosticReporter : 1233
PrivateFrameworks/SymptomReporter : 1233
PrivateFrameworks/Symptoms : 1233
PrivateFrameworks/SyncedDefaults : 311
PrivateFrameworks/SystemMigration : 2053.1
PrivateFrameworks/TextInputMenuUI : 242
PrivateFrameworks/TimeSync : 800.12
PrivateFrameworks/UHASHelloExtensionPoint-macOS : 173
PrivateFrameworks/UIFoundation : 631
PrivateFrameworks/UIKitSystemAppServices : 173
PrivateFrameworks/URLFormatting : 116
PrivateFrameworks/USDKit : 22
PrivateFrameworks/UXKit : 101.11.103
PrivateFrameworks/UniversalAccess : 469
PrivateFrameworks/UsageTracking : 113
PrivateFrameworks/UserActivity : 349.2
PrivateFrameworks/VectorKit : 1578.20.7.2.1
PrivateFrameworks/VideoProcessing : 815
PrivateFrameworks/ViewBridge : 444
PrivateFrameworks/WatchdogClient : 66
PrivateFrameworks/WebDriver : 15608.1.34.1.1
PrivateFrameworks/WebInspector : 15608.1.34.1.1
PrivateFrameworks/WebInspectorUI : 15608.1.34.1.1
PrivateFrameworks/WirelessDiagnostics : 949
PrivateFrameworks/WorkflowKit : 1010
PrivateFrameworks/iCloudDrive : 42
PrivateFrameworks/iCloudDriveCore : 42
PrivateFrameworks/iLifeMediaBrowser : 776
